name;vendor;category;functionality;expiration;service_name;service_url
fl-cache-app-state-*;Beaver Builder;Functional;with unknown functionality;session;Beaver Builder;https://cookiedatabase.org/service/beaver-builder/
privacy_embeds;Avada Privacy Bar;Functional;tostore user preferences.;at least one session;Avada Privacy Bar;https://cookiedatabase.org/service/avada-privacy-bar/
_biz_nA;Bizible;Unknown;with unknown functionality;at least one session;Bizible;https://cookiedatabase.org/service/bizible/
_biz_pendingA;Bizible;Unknown;with unknown functionality;at least one session;Bizible;https://cookiedatabase.org/service/bizible/
_biz_uid;Bizible;Unknown;with unknown functionality;at least one session;Bizible;https://cookiedatabase.org/service/bizible/
BkOpSession;Beeketing;Marketing;with unknown functionality;session;Beeketing;https://cookiedatabase.org/service/beeketing/
bk_ss;Beeketing;Marketing;with unknown functionality;persistent;Beeketing;https://cookiedatabase.org/service/beeketing/
bkt_session_id;Beeketing;Marketing;tostore a unique session ID.;session;Beeketing;https://cookiedatabase.org/service/beeketing/
bk_spop_viewed;Beeketing;Marketing;with unknown functionality;at least one session;Beeketing;https://cookiedatabase.org/service/beeketing/
bkeh;Beeketing;Marketing;with unknown functionality;at least one session;Beeketing;https://cookiedatabase.org/service/beeketing/
bk_spop_sign_up_viewed;Beeketing;Marketing;with unknown functionality;at least one session;Beeketing;https://cookiedatabase.org/service/beeketing/
bk_ss_time;Beeketing;Marketing;with unknown functionality;persistent;Beeketing;https://cookiedatabase.org/service/beeketing/
bk_spop_notification;Beeketing;Marketing;with unknown functionality;at least one session;Beeketing;https://cookiedatabase.org/service/beeketing/
bk_bkeh;Beeketing;Marketing;with unknown functionality;at least one session;Beeketing;https://cookiedatabase.org/service/beeketing/
