name;vendor;category;functionality;expiration;service_name;service_url
ct_mouse_moved;CleanTalk Spam Protect;Functional;tostore dynamic variables from the browser.;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
ct_has_scrolled;CleanTalk Spam Protect;Functional;tostore dynamic variables from the browser.;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
ct_screen_info;CleanTalk Spam Protect;Functional;tostore dynamic variables from the browser.;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
ct_checked_emails;CleanTalk Spam Protect;Unknown;with unknown functionality;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
apbct_*;CleanTalk Spam Protect;Unknown;with unknown functionality;at least one session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
abpct_hyro_acc_collect;CleanTalk Spam Protect;Unknown;with unknown functionality;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
apbct_cookies_test;CleanTalk Spam Protect;Functional;toread if cookies can be placed.;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
apbct_page_hits;CleanTalk Spam Protect;Functional;with unknown functionality;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
apbct_timestamp;CleanTalk Spam Protect;Functional;with unknown functionality;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
apbct_prev_referer;CleanTalk Spam Protect;Functional;tostore referrer ID's.;session;CleanTalk Spam Protect;https://cookiedatabase.org/service/cleantalk-spam-protect/
__cfruid;CloudFlare;Functional;with unknown functionality;session;CloudFlare;https://cookiedatabase.org/service/cloudflare/
__cf_bm;CloudFlare;Functional;toread and filter requests from bots.;30 minutes;CloudFlare;https://cookiedatabase.org/service/cloudflare/
mirage_cache_manifest;CloudFlare;Functional;with unknown functionality;persistent;CloudFlare;https://cookiedatabase.org/service/cloudflare/
mirage_network_connection;CloudFlare;Functional;with unknown functionality;persistent;CloudFlare;https://cookiedatabase.org/service/cloudflare/
cf_use_ob;CloudFlare;Functional;toprovide technical functions.;1 minute;CloudFlare;https://cookiedatabase.org/service/cloudflare/
cf_ob_info;CloudFlare;Functional;with unknown functionality;at least one session;CloudFlare;https://cookiedatabase.org/service/cloudflare/
cf_*_id;CloudFlare;Functional;with unknown functionality;at least one session;CloudFlare;https://cookiedatabase.org/service/cloudflare/
_sm_au_c;CloudFlare;Unknown;with unknown functionality;at least one session;CloudFlare;https://cookiedatabase.org/service/cloudflare/
__cfduid;CloudFlare;Functional;toprovide the identification of trusted web traffic.;30 days;CloudFlare;https://cookiedatabase.org/service/cloudflare/
iide_remember_me;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_console_state;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_monaco_editor_theme;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_selected_file_parent_dir;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_selected_folder_id;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_site_preview_url;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_dev_path;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_copy_file_folder_source;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_theme;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
iide_selected_file_dblclicked;Cobaltapps;Unknown;with unknown functionality;at least one session;Cobaltapps;https://cookiedatabase.org/service/cobaltapps/
ci_session;CodeIgniter;Functional;tostore a unique session ID.;session;CodeIgniter;https://cookiedatabase.org/service/codeigniter/
s1;Comscore;Marketing;with unknown functionality;5 years;Comscore;https://cookiedatabase.org/service/comscore/
cmplz_ac_string;Complianz;Functional;tostore cookie consent preferences.;persistent;Complianz;https://cookiedatabase.org/service/complianz/
cmplzBannerPreviewConsentType;Complianz;Functional;with unknown functionality;at least one session;Complianz;https://cookiedatabase.org/service/complianz/
cmplz_rt_rlx;Complianz;Marketing;with unknown functionality;at least one session;Complianz;https://cookiedatabase.org/service/complianz/
cmplz_undefined;Complianz;Unknown;with unknown functionality;at least one session;Complianz;https://cookiedatabase.org/service/complianz/
cmplz_rt_saved_categories;Complianz;Functional;tostore cookie consent preferences.;1 year;Complianz;https://cookiedatabase.org/service/complianz/
